time,level,year,sin_month,cos_month,sin_dayofyear,cos_dayofyear
2017-04-18,11.57725,2017,0.8660254037844387,-0.4999999999999998,0.9590788900341131,-0.28313898122818354
2017-04-19,11.561427083333333,2017,0.8660254037844387,-0.4999999999999998,0.9540665500578387,-0.2995947563972602
2017-04-20,11.556343749999998,2017,0.8660254037844387,-0.4999999999999998,0.9487718864399473,-0.31596187665790293
2017-04-21,11.560447916666666,2017,0.8660254037844387,-0.4999999999999998,0.9431964659565866,-0.33223549871590435
2017-04-22,11.562927083333333,2017,0.8660254037844387,-0.4999999999999998,0.9373419384643772,-0.3484108069446808
2017-04-23,11.557614583333333,2017,0.8660254037844387,-0.4999999999999998,0.9312100364121947,-0.3644830148102912
2017-04-24,11.561749999999998,2017,0.8660254037844387,-0.4999999999999998,0.9248025743285089,-0.38044736628785164
2017-04-25,11.569114583333333,2017,0.8660254037844387,-0.4999999999999998,0.9181214482844365,-0.39629913726891813
2017-04-26,11.565145833333332,2017,0.8660254037844387,-0.4999999999999998,0.9111686353326631,-0.41203363695942635
2017-04-27,11.558937499999999,2017,0.8660254037844387,-0.4999999999999998,0.9039461929224011,-0.42764620926777464
2017-04-28,11.56734375,2017,0.8660254037844387,-0.4999999999999998,0.8964562582905575,-0.44313223418263453
2017-04-29,11.657312500000002,2017,0.8660254037844387,-0.4999999999999998,0.8887010478292915,-0.45848712914008766
2017-04-30,11.730937500000001,2017,0.8660254037844387,-0.4999999999999998,0.8806828564301475,-0.47370635037968
2017-05-01,11.726729166666667,2017,0.49999999999999994,-0.8660254037844387,0.8724040568049612,-0.48878539428899265
2017-05-02,11.705020833333334,2017,0.49999999999999994,-0.8660254037844387,0.8638670987837349,-0.503719798736334
2017-05-03,11.681312499999999,2017,0.49999999999999994,-0.8660254037844387,0.8550745085896932,-0.518505144391157
2017-05-04,11.662166666666666,2017,0.49999999999999994,-0.8660254037844387,0.8460288880917339,-0.533137056031809
2017-05-05,11.648458333333332,2017,0.49999999999999994,-0.8660254037844387,0.8367329140344921,-0.5476112038402312
2017-05-06,11.640916666666667,2017,0.49999999999999994,-0.8660254037844387,0.8271893372462497,-0.5619233046832195
2017-05-07,11.637166666666666,2017,0.49999999999999994,-0.8660254037844387,0.8174009818249189,-0.5760691233798758
2017-05-08,11.642541666666666,2017,0.49999999999999994,-0.8660254037844387,0.8073707443023492,-0.5900444739548627
2017-05-09,11.639041666666666,2017,0.49999999999999994,-0.8660254037844387,0.7971015927871943,-0.6038452208771035
2017-05-10,11.649229166666666,2017,0.49999999999999994,-0.8660254037844387,0.7865965660866021,-0.6174672802835514
2017-05-11,11.664072916666667,2017,0.49999999999999994,-0.8660254037844387,0.7758587728069828,-0.6309066211876704
2017-05-12,11.669364583333333,2017,0.49999999999999994,-0.8660254037844387,0.7648913904341226,-0.6441592666722685
2017-05-13,11.663864583333334,2017,0.49999999999999994,-0.8660254037844387,0.753697664392914,-0.6572212950663319
2017-05-14,11.657614583333334,2017,0.49999999999999994,-0.8660254037844387,0.742280907086982,-0.6700888411055113
2017-05-15,11.652114583333335,2017,0.49999999999999994,-0.8660254037844387,0.7306444969184916,-0.6827580970759147
2017-05-16,11.648614583333334,2017,0.49999999999999994,-0.8660254037844387,0.7187918772884232,-0.6952253139408722
2017-05-17,11.651239583333334,2017,0.49999999999999994,-0.8660254037844387,0.7067265555776158,-0.7074868024503348
2017-05-18,11.648604166666667,2017,0.49999999999999994,-0.8660254037844387,0.6944521021088763,-0.719538934232584
2017-05-19,11.643166666666666,2017,0.49999999999999994,-0.8660254037844387,0.6819721490904629,-0.7313781428679254
2017-05-20,11.636229166666666,2017,0.49999999999999994,-0.8660254037844387,0.6692903895412567,-0.7430009249440493
2017-05-21,11.627770833333335,2017,0.49999999999999994,-0.8660254037844387,0.6564105761979381,-0.7544038410927472
2017-05-22,11.619833333333332,2017,0.49999999999999994,-0.8660254037844387,0.6433365204044917,-0.765583517007675
2017-05-23,11.613604166666667,2017,0.49999999999999994,-0.8660254037844387,0.6300720909843687,-0.7765366444428655
2017-05-24,11.617552083333335,2017,0.49999999999999994,-0.8660254037844387,0.6166212130956382,-0.7872599821916922
2017-05-25,11.614833333333335,2017,0.49999999999999994,-0.8660254037844387,0.6029878670694714,-0.7977503570459932
2017-05-26,11.607822916666665,2017,0.49999999999999994,-0.8660254037844387,0.5891760872322963,-0.8080046647350754
2017-05-27,11.59703125,2017,0.49999999999999994,-0.8660254037844387,0.5751899607119775,-0.8180198708443175
2017-05-28,11.584739583333333,2017,0.49999999999999994,-0.8660254037844387,0.5610336262283677,-0.8277930117131022
2017-05-29,11.57515625,2017,0.49999999999999994,-0.8660254037844387,0.5467112728685939,-0.8373211953118121
2017-05-30,11.573427083333334,2017,0.49999999999999994,-0.8660254037844387,0.5322271388474397,-0.8466016020976267
2017-05-31,11.571197916666668,2017,0.49999999999999994,-0.8660254037844387,0.5175855102531889,-0.8556314858488706
2017-06-01,11.564718749999999,2017,1.2246467991473532e-16,-1.0,0.5027907197793043,-0.8644081744776648
2017-06-02,11.556739583333332,2017,1.2246467991473532e-16,-1.0,0.4878471454423119,-0.8729290708206411
2017-06-03,11.550239583333335,2017,1.2246467991473532e-16,-1.0,0.47275920928627757,-0.881191653407483
2017-06-04,11.573572916666668,2017,1.2246467991473532e-16,-1.0,0.4575313760742512,-0.8891934772070711
2017-06-05,11.613072916666667,2017,1.2246467991473532e-16,-1.0,0.44216815196707204,-0.8969321743510065
2017-06-06,11.609520833333335,2017,1.2246467991473532e-16,-1.0,0.42667408318992467,-0.9044054548343001
2017-06-07,11.628635416666667,2017,1.2246467991473532e-16,-1.0,0.4110537546870351,-0.9116111071930239
2017-06-08,11.645072916666669,2017,1.2246467991473532e-16,-1.0,0.3953117887649151,-0.9185469991587165
2017-06-09,11.647093749999998,2017,1.2246467991473532e-16,-1.0,0.37945284372454435,-0.925211078289358
2017-06-10,11.640041666666667,2017,1.2246467991473532e-16,-1.0,0.36348161248290634,-0.9316013725767187
2017-06-11,11.629947916666666,2017,1.2246467991473532e-16,-1.0,0.3474028211842774,-0.9377159910299093
2017-06-12,11.623322916666666,2017,1.2246467991473532e-16,-1.0,0.3312212278016865,-0.9435531242349544
2017-06-13,11.614760416666668,2017,1.2246467991473532e-16,-1.0,0.31494162072895193,-0.9491110448902284
2017-06-14,11.601708333333333,2017,1.2246467991473532e-16,-1.0,0.2985688173637202,-0.9543881083175908
2017-06-15,11.58784375,2017,1.2246467991473532e-16,-1.0,0.2821076626819194,-0.9593827529490743
2017-06-16,11.588979166666666,2017,1.2246467991473532e-16,-1.0,0.26556302780405594,-0.9640935007889755
2017-06-17,11.5870625,2017,1.2246467991473532e-16,-1.0,0.24893980855376657,-0.9685189578512204
2017-06-18,11.574416666666666,2017,1.2246467991473532e-16,-1.0,0.23224292400907015,-0.9726578145718654
